  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
814 3569     |  10  93   1 814    
815 3571     |   2  95   2 815    
- - - - - - - - - - - - - - - - - - - 
816 3581     |  10   0   0 816    
817 3583     |   2   2   1 817    
818 3587     |   4   6   1 818    
819 3589     |   2   8   2 819    
820 3593     |   4  12   2 820    
821 3599     |   6  18   1 821    
822 3601     |   2  20   2 822    
823 3607     |   6  26   2 823    
824 3611     |   4  30   2 824    
825 3613     |   2  32   2 825    
826 3617     |   4  36   2 826    
827 3623     |   6  42   2 827    
828 3629     |   6  48   2 828    
829 3631     |   2  50   2 829    
830 3637     |   6  56   2 830    
831 3641     |   4  60   2 831    
832 3643     |   2  62   2 832    
833 3649     |   6  68   2 833    
834 3653     |   4  72   2 834    
835 3659     |   6  78   2 835    
836 3667     |   8  86   1 836    
837 3671     |   4  90   1 837    
838 3673     |   2  92   1 838    
839 3677     |   4  96   2 839    
840 3679     |   2  98   2 840    
841 3683     |   4 102   2 841    
842 3691     |   8   5   1 842    
843 3697     |   6  11   1 843    
844 3701     |   4  15   1 844    
845 3707     |   6  21   1 845    
846 3709     |   2  23   1 846    
847 3713     |   4  27   1 847    
848 3719     |   6  33   1 848    
849 3721     |   2  35   1 849    
850 3727     |   6  41   1 850    
851 3733     |   6  47   1 851    
852 3737     |   4  51   1 852    
853 3739     |   2  53   1 853    
854 3743     |   4  57   1 854    
855 3749     |   6  63   1 855    
856 3751     |   2  65   2 856    
857 3757     |   6  71   1 857    
858 3761     |   4  75   1 858    
859 3763     |   2  77   2 859    
860 3767     |   4  81   2 860    
861 3769     |   2  83   3 861    
862 3779     |  10  93   1 862    
863 3781     |   2  95   2 863    
- - - - - - - - - - - - - - - - - - - 
864 3791     |  10   0   0 864    
865 3793     |   2   2   1 865    
866 3797     |   4   6   1 866    
867 3799     |   2   8   2 867    
868 3803     |   4  12   2 868    
869 3809     |   6  18   1 869    
870 3811     |   2  20   2 870    
871 3817     |   6  26   2 871    
872 3821     |   4  30   2 872    
873 3823     |   2  32   2 873    
874 3827     |   4  36   2 874    
875 3833     |   6  42   2 875    
876 3839     |   6  48   2 876    
877 3841     |   2  50   2 877    
878 3847     |   6  56   2 878    
879 3851     |   4  60   2 879    
880 3853     |   2  62   2 880    
881 3859     |   6  68   2 881    
882 3863     |   4  72   2 882    
883 3869     |   6  78   2 883    
884 3877     |   8  86   1 884    
885 3881     |   4  90   1 885    
886 3883     |   2  92   1 886    
887 3887     |   4  96   2 887    
888 3889     |   2  98   2 888    
889 3893     |   4 102   2 889    
890 3901     |   8   5   1 890    
891 3907     |   6  11   1 891    
892 3911     |   4  15   1 892    
893 3917     |   6  21   1 893    
894 3919     |   2  23   1 894    
895 3923     |   4  27   1 895    
896 3929     |   6  33   1 896    
897 3931     |   2  35   1 897    
898 3937     |   6  41   1 898    
899 3943     |   6  47   1 899    
900 3947     |   4  51   1 900    
901 3949     |   2  53   1 901    
902 3953     |   4  57   1 902    
903 3959     |   6  63   1 903    
904 3961     |   2  65   2 904    
905 3967     |   6  71   1 905    
906 3971     |   4  75   1 906    
907 3973     |   2  77   2 907    
908 3977     |   4  81   2 908    
909 3979     |   2  83   3 909    
910 3989     |  10  93   1 910    
911 3991     |   2  95   2 911    
- - - - - - - - - - - - - - - - - - - 
912 4001     |  10   0   0 912    
913 4003     |   2   2   1 913    
914 4007     |   4   6   1 914    
915 4009     |   2   8   2 915    
916 4013     |   4  12   2 916    
917 4019     |   6  18   1 917    
918 4021     |   2  20   2 918    
919 4027     |   6  26   2 919    
920 4031     |   4  30   2 920    
921 4033     |   2  32   2 921    
922 4037     |   4  36   2 922    
923 4043     |   6  42   2 923    
924 4049     |   6  48   2 924    
925 4051     |   2  50   2 925    
926 4057     |   6  56   2 926    
927 4061     |   4  60   2 927    
928 4063     |   2  62   2 928    
929 4069     |   6  68   2 929    
930 4073     |   4  72   2 930    
931 4079     |   6  78   2 931    
932 4087     |   8  86   1 932    
933 4091     |   4  90   1 933    
934 4093     |   2  92   1 934    
935 4097     |   4  96   2 935    
936 4099     |   2  98   2 936    
937 4103     |   4 102   2 937    
938 4111     |   8   5   1 938    
939 4117     |   6  11   1 939    
940 4121     |   4  15   1 940    
941 4127     |   6  21   1 941    
942 4129     |   2  23   1 942    
943 4133     |   4  27   1 943    
944 4139     |   6  33   1 944    
945 4141     |   2  35   1 945    
946 4147     |   6  41   1 946    
947 4153     |   6  47   1 947    
948 4157     |   4  51   1 948    
949 4159     |   2  53   1 949    
950 4163     |   4  57   1 950    
951 4169     |   6  63   1 951    
952 4171     |   2  65   2 952    
953 4177     |   6  71   1 953    
954 4181     |   4  75   1 954    
955 4183     |   2  77   2 955    
956 4187     |   4  81   2 956    
957 4189     |   2  83   3 957    
958 4199     |  10  93   1 958    
959 4201     |   2  95   2 959    
- - - - - - - - - - - - - - - - - - - 
960 4211     |  10   0   0 960    
961 4213     |   2   2   1 961    
962 4217     |   4   6   1 962    
963 4219     |   2   8   2 963    
964 4223     |   4  12   2 964    
965 4229     |   6  18   1 965    
966 4231     |   2  20   2 966    
967 4237     |   6  26   2 967    
968 4241     |   4  30   2 968    
969 4243     |   2  32   2 969    
970 4247     |   4  36   2 970    
971 4253     |   6  42   2 971    
972 4259     |   6  48   2 972    
973 4261     |   2  50   2 973    
974 4267     |   6  56   2 974    
975 4271     |   4  60   2 975    
976 4273     |   2  62   2 976    
977 4279     |   6  68   2 977    
978 4283     |   4  72   2 978    
979 4289     |   6  78   2 979    
980 4297     |   8  86   1 980    
981 4301     |   4  90   1 981    
982 4303     |   2  92   1 982    
983 4307     |   4  96   2 983    
984 4309     |   2  98   2 984    
985 4313     |   4 102   2 985    
986 4321     |   8   5   1 986    
987 4327     |   6  11   1 987    
988 4331     |   4  15   1 988    
989 4337     |   6  21   1 989    
990 4339     |   2  23   1 990    
991 4343     |   4  27   1 991    
992 4349     |   6  33   1 992    
993 4351     |   2  35   1 993    
994 4357     |   6  41   1 994    
995 4363     |   6  47   1 995    
996 4367     |   4  51   1 996    
997 4369     |   2  53   1 997    
998 4373     |   4  57   1 998    
999 4379     |   6  63   1 999    
1000 4381     |   2  65   2 1000    
1001 4387     |   6  71   1 1001    
1002 4391     |   4  75   1 1002    
1003 4393     |   2  77   2 1003    
1004 4397     |   4  81   2 1004    
1005 4399     |   2  83   3 1005    
1006 4409     |  10  93   1 1006    
1007 4411     |   2  95   2 1007    
- - - - - - - - - - - - - - - - - - - 
1008 4421     |  10   0   0 1008    
1009 4423     |   2   2   1 1009    
1010 4427     |   4   6   1 1010    
1011 4429     |   2   8   2 1011    
1012 4433     |   4  12   2 1012    
1013 4439     |   6  18   1 1013    
1014 4441     |   2  20   2 1014    
1015 4447     |   6  26   2 1015    
1016 4451     |   4  30   2 1016    
1017 4453     |   2  32   2 1017    
1018 4457     |   4  36   2 1018    
1019 4463     |   6  42   2 1019    
1020 4469     |   6  48   2 1020    
1021 4471     |   2  50   2 1021    
1022 4477     |   6  56   2 1022    
1023 4481     |   4  60   2 1023    
1024 4483     |   2  62   2 1024    
1025 4489     |   6  68   2 1025    
1026 4493     |   4  72   2 1026    
1027 4499     |   6  78   2 1027    
1028 4507     |   8  86   1 1028    
1029 4511     |   4  90   1 1029    
1030 4513     |   2  92   1 1030    
1031 4517     |   4  96   2 1031    
1032 4519     |   2  98   2 1032    
1033 4523     |   4 102   2 1033    
1034 4531     |   8   5   1 1034    
1035 4537     |   6  11   1 1035    
1036 4541     |   4  15   1 1036    
1037 4547     |   6  21   1 1037    
1038 4549     |   2  23   1 1038    
1039 4553     |   4  27   1 1039    
1040 4559     |   6  33   1 1040    
1041 4561     |   2  35   1 1041    
1042 4567     |   6  41   1 1042    
1043 4573     |   6  47   1 1043    
1044 4577     |   4  51   1 1044    
1045 4579     |   2  53   1 1045    
1046 4583     |   4  57   1 1046    
1047 4589     |   6  63   1 1047    
1048 4591     |   2  65   2 1048    
1049 4597     |   6  71   1 1049    
1050 4601     |   4  75   1 1050    
1051 4603     |   2  77   2 1051    
1052 4607     |   4  81   2 1052    
1053 4609     |   2  83   3 1053    
1054 4619     |  10  93   1 1054    
1055 4621     |   2  95   2 1055    
- - - - - - - - - - - - - - - - - - - 
1056 4631     |  10   0   0 1056    
1057 4633     |   2   2   1 1057    
1058 4637     |   4   6   1 1058    
1059 4639     |   2   8   2 1059    
1060 4643     |   4  12   2 1060    
1061 4649     |   6  18   1 1061    
1062 4651     |   2  20   2 1062    
1063 4657     |   6  26   2 1063    
1064 4661     |   4  30   2 1064    
1065 4663     |   2  32   2 1065    
1066 4667     |   4  36   2 1066    
1067 4673     |   6  42   2 1067    
1068 4679     |   6  48   2 1068    
1069 4681     |   2  50   2 1069    
1070 4687     |   6  56   2 1070    
1071 4691     |   4  60   2 1071    
1072 4693     |   2  62   2 1072    
1073 4699     |   6  68   2 1073    
1074 4703     |   4  72   2 1074    
1075 4709     |   6  78   2 1075    
1076 4717     |   8  86   1 1076    
1077 4721     |   4  90   1 1077    
1078 4723     |   2  92   1 1078    
1079 4727     |   4  96   2 1079    
1080 4729     |   2  98   2 1080    
1081 4733     |   4 102   2 1081    
1082 4741     |   8   5   1 1082    
1083 4747     |   6  11   1 1083    
1084 4751     |   4  15   1 1084    
1085 4757     |   6  21   1 1085    
1086 4759     |   2  23   1 1086    
1087 4763     |   4  27   1 1087    
1088 4769     |   6  33   1 1088    
1089 4771     |   2  35   1 1089    
1090 4777     |   6  41   1 1090    
1091 4783     |   6  47   1 1091    
1092 4787     |   4  51   1 1092    
1093 4789     |   2  53   1 1093    
1094 4793     |   4  57   1 1094    
1095 4799     |   6  63   1 1095    
1096 4801     |   2  65   2 1096    
1097 4807     |   6  71   1 1097    
1098 4811     |   4  75   1 1098    
1099 4813     |   2  77   2 1099    
1100 4817     |   4  81   2 1100    
1101 4819     |   2  83   3 1101    
1102 4829     |  10  93   1 1102    
1103 4831     |   2  95   2 1103    
- - - - - - - - - - - - - - - - - - - 
1104 4841     |  10   0   0 1104    
1105 4843     |   2   2   1 1105    
1106 4847     |   4   6   1 1106    
1107 4849     |   2   8   2 1107    
1108 4853     |   4  12   2 1108    
1109 4859     |   6  18   1 1109    
1110 4861     |   2  20   2 1110    
1111 4867     |   6  26   2 1111    
1112 4871     |   4  30   2 1112    
1113 4873     |   2  32   2 1113    
1114 4877     |   4  36   2 1114    
1115 4883     |   6  42   2 1115    
1116 4889     |   6  48   2 1116    
1117 4891     |   2  50   2 1117    
1118 4897     |   6  56   2 1118    
1119 4901     |   4  60   2 1119    
1120 4903     |   2  62   2 1120    
1121 4909     |   6  68   2 1121    
1122 4913     |   4  72   2 1122    
1123 4919     |   6  78   2 1123    
1124 4927     |   8  86   1 1124    
1125 4931     |   4  90   1 1125    
1126 4933     |   2  92   1 1126    
1127 4937     |   4  96   2 1127    
1128 4939     |   2  98   2 1128    
1129 4943     |   4 102   2 1129    
1130 4951     |   8   5   1 1130    
1131 4957     |   6  11   1 1131    
1132 4961     |   4  15   1 1132    
1133 4967     |   6  21   1 1133    
1134 4969     |   2  23   1 1134    
1135 4973     |   4  27   1 1135    
1136 4979     |   6  33   1 1136    
1137 4981     |   2  35   1 1137    
1138 4987     |   6  41   1 1138    
1139 4993     |   6  47   1 1139    
1140 4997     |   4  51   1 1140    
1141 4999     |   2  53   1 1141    
1142 5003     |   4  57   1 1142    
1143 5009     |   6  63   1 1143    
1144 5011     |   2  65   2 1144    
1145 5017     |   6  71   1 1145    
1146 5021     |   4  75   1 1146    
1147 5023     |   2  77   2 1147    
1148 5027     |   4  81   2 1148    
1149 5029     |   2  83   3 1149    
1150 5039     |  10  93   1 1150    
1151 5041     |   2  95   2 1151    
- - - - - - - - - - - - - - - - - - - 
1152 5051     |  10   0   0 1152    
1153 5053     |   2   2   1 1153    
1154 5057     |   4   6   1 1154    
1155 5059     |   2   8   2 1155    
1156 5063     |   4  12   2 1156    
1157 5069     |   6  18   1 1157    
1158 5071     |   2  20   2 1158    
1159 5077     |   6  26   2 1159    
1160 5081     |   4  30   2 1160    
1161 5083     |   2  32   2 1161    
1162 5087     |   4  36   2 1162    
1163 5093     |   6  42   2 1163    
1164 5099     |   6  48   2 1164    
1165 5101     |   2  50   2 1165    
1166 5107     |   6  56   2 1166    
1167 5111     |   4  60   2 1167    
1168 5113     |   2  62   2 1168    
1169 5119     |   6  68   2 1169    
1170 5123     |   4  72   2 1170    
1171 5129     |   6  78   2 1171    
1172 5137     |   8  86   1 1172    
1173 5141     |   4  90   1 1173    
1174 5143     |   2  92   1 1174    
1175 5147     |   4  96   2 1175    
1176 5149     |   2  98   2 1176    
1177 5153     |   4 102   2 1177    
1178 5161     |   8   5   1 1178    
1179 5167     |   6  11   1 1179    
1180 5171     |   4  15   1 1180    
1181 5177     |   6  21   1 1181    
1182 5179     |   2  23   1 1182    
1183 5183     |   4  27   1 1183    
1184 5189     |   6  33   1 1184    
1185 5191     |   2  35   1 1185    
1186 5197     |   6  41   1 1186    
1187 5203     |   6  47   1 1187    
1188 5207     |   4  51   1 1188    
1189 5209     |   2  53   1 1189    
1190 5213     |   4  57   1 1190    
1191 5219     |   6  63   1 1191    
1192 5221     |   2  65   2 1192    
1193 5227     |   6  71   1 1193    
1194 5231     |   4  75   1 1194    
1195 5233     |   2  77   2 1195    
1196 5237     |   4  81   2 1196    
1197 5239     |   2  83   3 1197    
1198 5249     |  10  93   1 1198    
1199 5251     |   2  95   2 1199    
- - - - - - - - - - - - - - - - - - - 
1200 5261     |  10   0   0 1200    
1201 5263     |   2   2   1 1201    
1202 5267     |   4   6   1 1202    
1203 5269     |   2   8   2 1203    
1204 5273     |   4  12   2 1204    
1205 5279     |   6  18   1 1205    
1206 5281     |   2  20   2 1206    
1207 5287     |   6  26   2 1207    
1208 5291     |   4  30   2 1208    
1209 5293     |   2  32   2 1209    
1210 5297     |   4  36   2 1210    
1211 5303     |   6  42   2 1211    
1212 5309     |   6  48   2 1212    
1213 5311     |   2  50   2 1213    
1214 5317     |   6  56   2 1214    
1215 5321     |   4  60   2 1215    
1216 5323     |   2  62   2 1216    
1217 5329     |   6  68   2 1217    
1218 5333     |   4  72   2 1218    
1219 5339     |   6  78   2 1219    
1220 5347     |   8  86   1 1220    
1221 5351     |   4  90   1 1221    
1222 5353     |   2  92   1 1222    
1223 5357     |   4  96   2 1223    
1224 5359     |   2  98   2 1224    
1225 5363     |   4 102   2 1225    
1226 5371     |   8   5   1 1226    
1227 5377     |   6  11   1 1227    
1228 5381     |   4  15   1 1228    
1229 5387     |   6  21   1 1229    
1230 5389     |   2  23   1 1230    
1231 5393     |   4  27   1 1231    
1232 5399     |   6  33   1 1232    
1233 5401     |   2  35   1 1233    
1234 5407     |   6  41   1 1234    
1235 5413     |   6  47   1 1235    
1236 5417     |   4  51   1 1236    
1237 5419     |   2  53   1 1237    
1238 5423     |   4  57   1 1238    
1239 5429     |   6  63   1 1239    
1240 5431     |   2  65   2 1240    
1241 5437     |   6  71   1 1241    
1242 5441     |   4  75   1 1242    
1243 5443     |   2  77   2 1243    
1244 5447     |   4  81   2 1244    
1245 5449     |   2  83   3 1245    
1246 5459     |  10  93   1 1246    
1247 5461     |   2  95   2 1247    
- - - - - - - - - - - - - - - - - - - 
1248 5471     |  10   0   0 1248    
1249 5473     |   2   2   1 1249    
1250 5477     |   4   6   1 1250    
1251 5479     |   2   8   2 1251    
1252 5483     |   4  12   2 1252    
1253 5489     |   6  18   1 1253    
1254 5491     |   2  20   2 1254    
1255 5497     |   6  26   2 1255    
1256 5501     |   4  30   2 1256    
1257 5503     |   2  32   2 1257    
1258 5507     |   4  36   2 1258    
1259 5513     |   6  42   2 1259    
1260 5519     |   6  48   2 1260    
1261 5521     |   2  50   2 1261    
1262 5527     |   6  56   2 1262    
1263 5531     |   4  60   2 1263    
1264 5533     |   2  62   2 1264    
1265 5539     |   6  68   2 1265    
1266 5543     |   4  72   2 1266    
1267 5549     |   6  78   2 1267    
1268 5557     |   8  86   1 1268    
1269 5561     |   4  90   1 1269    
1270 5563     |   2  92   1 1270    
1271 5567     |   4  96   2 1271    
1272 5569     |   2  98   2 1272    
1273 5573     |   4 102   2 1273    
1274 5581     |   8   5   1 1274    
1275 5587     |   6  11   1 1275    
1276 5591     |   4  15   1 1276    
1277 5597     |   6  21   1 1277    
1278 5599     |   2  23   1 1278    
1279 5603     |   4  27   1 1279    
1280 5609     |   6  33   1 1280    
1281 5611     |   2  35   1 1281    
1282 5617     |   6  41   1 1282    
1283 5623     |   6  47   1 1283    
1284 5627     |   4  51   1 1284    
1285 5629     |   2  53   1 1285    
1286 5633     |   4  57   1 1286    
1287 5639     |   6  63   1 1287    
1288 5641     |   2  65   2 1288    
1289 5647     |   6  71   1 1289    
1290 5651     |   4  75   1 1290    
1291 5653     |   2  77   2 1291    
1292 5657     |   4  81   2 1292    
1293 5659     |   2  83   3 1293    
1294 5669     |  10  93   1 1294    
1295 5671     |   2  95   2 1295    
- - - - - - - - - - - - - - - - - - - 
1296 5681     |  10   0   0 1296    
1297 5683     |   2   2   1 1297    
1298 5687     |   4   6   1 1298    
1299 5689     |   2   8   2 1299    
1300 5693     |   4  12   2 1300    
1301 5699     |   6  18   1 1301    
1302 5701     |   2  20   2 1302    
1303 5707     |   6  26   2 1303    
1304 5711     |   4  30   2 1304    
1305 5713     |   2  32   2 1305    
1306 5717     |   4  36   2 1306    
1307 5723     |   6  42   2 1307    
1308 5729     |   6  48   2 1308    
1309 5731     |   2  50   2 1309    
1310 5737     |   6  56   2 1310    
1311 5741     |   4  60   2 1311    
1312 5743     |   2  62   2 1312    
1313 5749     |   6  68   2 1313    
1314 5753     |   4  72   2 1314    
1315 5759     |   6  78   2 1315    
1316 5767     |   8  86   1 1316    
1317 5771     |   4  90   1 1317    
1318 5773     |   2  92   1 1318    
1319 5777     |   4  96   2 1319    
1320 5779     |   2  98   2 1320    
1321 5783     |   4 102   2 1321    
1322 5791     |   8   5   1 1322    
1323 5797     |   6  11   1 1323    
1324 5801     |   4  15   1 1324    
1325 5807     |   6  21   1 1325    
1326 5809     |   2  23   1 1326    
1327 5813     |   4  27   1 1327    
1328 5819     |   6  33   1 1328    
1329 5821     |   2  35   1 1329    
1330 5827     |   6  41   1 1330    
1331 5833     |   6  47   1 1331    
1332 5837     |   4  51   1 1332    
1333 5839     |   2  53   1 1333    
1334 5843     |   4  57   1 1334    
1335 5849     |   6  63   1 1335    
1336 5851     |   2  65   2 1336    
1337 5857     |   6  71   1 1337    
1338 5861     |   4  75   1 1338    
1339 5863     |   2  77   2 1339    
1340 5867     |   4  81   2 1340    
1341 5869     |   2  83   3 1341    
1342 5879     |  10  93   1 1342    
1343 5881     |   2  95   2 1343    
- - - - - - - - - - - - - - - - - - - 
1344 5891     |  10   0   0 1344    
1345 5893     |   2   2   1 1345    
1346 5897     |   4   6   1 1346    
1347 5899     |   2   8   2 1347    
1348 5903     |   4  12   2 1348    
1349 5909     |   6  18   1 1349    
1350 5911     |   2  20   2 1350    
1351 5917     |   6  26   2 1351    
1352 5921     |   4  30   2 1352    
1353 5923     |   2  32   2 1353    
1354 5927     |   4  36   2 1354    
1355 5933     |   6  42   2 1355    
1356 5939     |   6  48   2 1356    
1357 5941     |   2  50   2 1357    
1358 5947     |   6  56   2 1358    
1359 5951     |   4  60   2 1359    
1360 5953     |   2  62   2 1360    
1361 5959     |   6  68   2 1361    
1362 5963     |   4  72   2 1362    
1363 5969     |   6  78   2 1363    
1364 5977     |   8  86   1 1364    
1365 5981     |   4  90   1 1365    
1366 5983     |   2  92   1 1366    
1367 5987     |   4  96   2 1367    
1368 5989     |   2  98   2 1368    
1369 5993     |   4 102   2 1369    
1370 6001     |   8   5   1 1370    
1371 6007     |   6  11   1 1371    
1372 6011     |   4  15   1 1372    
1373 6017     |   6  21   1 1373    
1374 6019     |   2  23   1 1374    
1375 6023     |   4  27   1 1375    
1376 6029     |   6  33   1 1376    
1377 6031     |   2  35   1 1377    
1378 6037     |   6  41   1 1378    
1379 6043     |   6  47   1 1379    
1380 6047     |   4  51   1 1380    
1381 6049     |   2  53   1 1381    
1382 6053     |   4  57   1 1382    
1383 6059     |   6  63   1 1383    
1384 6061     |   2  65   2 1384    
1385 6067     |   6  71   1 1385    
1386 6071     |   4  75   1 1386    
1387 6073     |   2  77   2 1387    
1388 6077     |   4  81   2 1388    
1389 6079     |   2  83   3 1389    
1390 6089     |  10  93   1 1390    
1391 6091     |   2  95   2 1391    
- - - - - - - - - - - - - - - - - - - 
1392 6101     |  10   0   0 1392    
1393 6103     |   2   2   1 1393    
1394 6107     |   4   6   1 1394    
1395 6109     |   2   8   2 1395    
1396 6113     |   4  12   2 1396    
1397 6119     |   6  18   1 1397    
1398 6121     |   2  20   2 1398    
1399 6127     |   6  26   2 1399    
1400 6131     |   4  30   2 1400    
1401 6133     |   2  32   2 1401    
1402 6137     |   4  36   2 1402    
1403 6143     |   6  42   2 1403    
1404 6149     |   6  48   2 1404    
1405 6151     |   2  50   2 1405    
1406 6157     |   6  56   2 1406    
1407 6161     |   4  60   2 1407    
1408 6163     |   2  62   2 1408    
1409 6169     |   6  68   2 1409    
1410 6173     |   4  72   2 1410    
1411 6179     |   6  78   2 1411    
1412 6187     |   8  86   1 1412    
1413 6191     |   4  90   1 1413    
1414 6193     |   2  92   1 1414    
1415 6197     |   4  96   2 1415    
1416 6199     |   2  98   2 1416    
1417 6203     |   4 102   2 1417    
1418 6211     |   8   5   1 1418    
1419 6217     |   6  11   1 1419    
1420 6221     |   4  15   1 1420    
1421 6227     |   6  21   1 1421    
1422 6229     |   2  23   1 1422    
1423 6233     |   4  27   1 1423    
1424 6239     |   6  33   1 1424    
1425 6241     |   2  35   1 1425    
1426 6247     |   6  41   1 1426    
1427 6253     |   6  47   1 1427    
1428 6257     |   4  51   1 1428    
1429 6259     |   2  53   1 1429    
1430 6263     |   4  57   1 1430    
1431 6269     |   6  63   1 1431    
1432 6271     |   2  65   2 1432    
1433 6277     |   6  71   1 1433    
1434 6281     |   4  75   1 1434    
1435 6283     |   2  77   2 1435    
1436 6287     |   4  81   2 1436    
1437 6289     |   2  83   3 1437    
1438 6299     |  10  93   1 1438    
1439 6301     |   2  95   2 1439    
- - - - - - - - - - - - - - - - - - - 
1440 6311     |  10   0   0 1440    
1441 6313     |   2   2   1 1441    
1442 6317     |   4   6   1 1442    
1443 6319     |   2   8   2 1443    
1444 6323     |   4  12   2 1444    
1445 6329     |   6  18   1 1445    
1446 6331     |   2  20   2 1446    
1447 6337     |   6  26   2 1447    
1448 6341     |   4  30   2 1448    
1449 6343     |   2  32   2 1449    
1450 6347     |   4  36   2 1450    
1451 6353     |   6  42   2 1451    
1452 6359     |   6  48   2 1452    
1453 6361     |   2  50   2 1453    
1454 6367     |   6  56   2 1454    
1455 6371     |   4  60   2 1455    
1456 6373     |   2  62   2 1456    
1457 6379     |   6  68   2 1457    
1458 6383     |   4  72   2 1458    
1459 6389     |   6  78   2 1459    
1460 6397     |   8  86   1 1460    
1461 6401     |   4  90   1 1461    
1462 6403     |   2  92   1 1462    
1463 6407     |   4  96   2 1463    
1464 6409     |   2  98   2 1464    
1465 6413     |   4 102   2 1465    
1466 6421     |   8   5   1 1466    
1467 6427     |   6  11   1 1467    
1468 6431     |   4  15   1 1468    
1469 6437     |   6  21   1 1469    
1470 6439     |   2  23   1 1470    
1471 6443     |   4  27   1 1471    
1472 6449     |   6  33   1 1472    
1473 6451     |   2  35   1 1473    
1474 6457     |   6  41   1 1474    
1475 6463     |   6  47   1 1475    
1476 6467     |   4  51   1 1476    
1477 6469     |   2  53   1 1477    
1478 6473     |   4  57   1 1478    
1479 6479     |   6  63   1 1479    
1480 6481     |   2  65   2 1480    
1481 6487     |   6  71   1 1481    
1482 6491     |   4  75   1 1482    
1483 6493     |   2  77   2 1483    
1484 6497     |   4  81   2 1484    
1485 6499     |   2  83   3 1485    
1486 6509     |  10  93   1 1486    
1487 6511     |   2  95   2 1487    
- - - - - - - - - - - - - - - - - - - 
1488 6521     |  10   0   0 1488    
1489 6523     |   2   2   1 1489    
1490 6527     |   4   6   1 1490    
1491 6529     |   2   8   2 1491    
1492 6533     |   4  12   2 1492    
1493 6539     |   6  18   1 1493    
1494 6541     |   2  20   2 1494    
1495 6547     |   6  26   2 1495    
1496 6551     |   4  30   2 1496    
1497 6553     |   2  32   2 1497    
1498 6557     |   4  36   2 1498    
1499 6563     |   6  42   2 1499    
1500 6569     |   6  48   2 1500    
1501 6571     |   2  50   2 1501    
1502 6577     |   6  56   2 1502    
1503 6581     |   4  60   2 1503    
1504 6583     |   2  62   2 1504    
1505 6589     |   6  68   2 1505    
1506 6593     |   4  72   2 1506    
1507 6599     |   6  78   2 1507    
1508 6607     |   8  86   1 1508    
1509 6611     |   4  90   1 1509    
1510 6613     |   2  92   1 1510    
1511 6617     |   4  96   2 1511    
1512 6619     |   2  98   2 1512    
1513 6623     |   4 102   2 1513    
1514 6631     |   8   5   1 1514    
1515 6637     |   6  11   1 1515    
1516 6641     |   4  15   1 1516    
1517 6647     |   6  21   1 1517    
1518 6649     |   2  23   1 1518    
1519 6653     |   4  27   1 1519    
1520 6659     |   6  33   1 1520    
1521 6661     |   2  35   1 1521    
1522 6667     |   6  41   1 1522    
1523 6673     |   6  47   1 1523    
1524 6677     |   4  51   1 1524    
1525 6679     |   2  53   1 1525    
1526 6683     |   4  57   1 1526    
1527 6689     |   6  63   1 1527    
1528 6691     |   2  65   2 1528    
1529 6697     |   6  71   1 1529    
1530 6701     |   4  75   1 1530    
1531 6703     |   2  77   2 1531    
1532 6707     |   4  81   2 1532    
1533 6709     |   2  83   3 1533    
1534 6719     |  10  93   1 1534    
1535 6721     |   2  95   2 1535    
- - - - - - - - - - - - - - - - - - - 
1536 6731     |  10   0   0 1536    
1537 6733     |   2   2   1 1537    
1538 6737     |   4   6   1 1538    
1539 6739     |   2   8   2 1539    
1540 6743     |   4  12   2 1540    
1541 6749     |   6  18   1 1541    
1542 6751     |   2  20   2 1542    
1543 6757     |   6  26   2 1543    
1544 6761     |   4  30   2 1544    
1545 6763     |   2  32   2 1545    
1546 6767     |   4  36   2 1546    
1547 6773     |   6  42   2 1547    
1548 6779     |   6  48   2 1548    
1549 6781     |   2  50   2 1549    
1550 6787     |   6  56   2 1550    
1551 6791     |   4  60   2 1551    
1552 6793     |   2  62   2 1552    
1553 6799     |   6  68   2 1553    
1554 6803     |   4  72   2 1554    
1555 6809     |   6  78   2 1555    
1556 6817     |   8  86   1 1556    
1557 6821     |   4  90   1 1557    
1558 6823     |   2  92   1 1558    
1559 6827     |   4  96   2 1559    
1560 6829     |   2  98   2 1560    
1561 6833     |   4 102   2 1561    
1562 6841     |   8   5   1 1562    
1563 6847     |   6  11   1 1563    
1564 6851     |   4  15   1 1564    
1565 6857     |   6  21   1 1565    
1566 6859     |   2  23   1 1566    
1567 6863     |   4  27   1 1567    
1568 6869     |   6  33   1 1568    
1569 6871     |   2  35   1 1569    
1570 6877     |   6  41   1 1570    
1571 6883     |   6  47   1 1571    
1572 6887     |   4  51   1 1572    
1573 6889     |   2  53   1 1573    
1574 6893     |   4  57   1 1574    
1575 6899     |   6  63   1 1575    
1576 6901     |   2  65   2 1576    
1577 6907     |   6  71   1 1577    
1578 6911     |   4  75   1 1578    
1579 6913     |   2  77   2 1579    
1580 6917     |   4  81   2 1580    
1581 6919     |   2  83   3 1581    
1582 6929     |  10  93   1 1582    
