  i   p     |   d   m   t  ii    
------------------------------------
  0  11     |   0   0   0   0    
  1  13     |   2   2   1   1    
  2  17     |   4   6   1   2    
  3  19     |   2   8   2   3    
  4  23     |   4  12   2   4    
  5  29     |   6  18   1   5    
  6  31     |   2  20   2   6    
  7  37     |   6  26   2   7    
  8  41     |   4  30   2   8    
  9  43     |   2  32   2   9    
199 877     |   6  26   2 199    
200 881     |   4  30   2 200    
201 883     |   2  32   2 201    
202 887     |   4  36   2 202    
203 893     |   6  42   2 203    
204 899     |   6  48   2 204    
205 901     |   2  50   2 205    
206 907     |   6  56   2 206    
207 911     |   4  60   2 207    
208 913     |   2  62   2 208    
209 919     |   6  68   2 209    
210 923     |   4  72   2 210    
211 929     |   6  78   2 211    
212 937     |   8  86   1 212    
213 941     |   4  90   1 213    
214 943     |   2  92   1 214    
215 947     |   4  96   2 215    
216 949     |   2  98   2 216    
217 953     |   4 102   2 217    
218 961     |   8   5   1 218    
219 967     |   6  11   1 219    
220 971     |   4  15   1 220    
221 977     |   6  21   1 221    
222 979     |   2  23   1 222    
223 983     |   4  27   1 223    
224 989     |   6  33   1 224    
225 991     |   2  35   1 225    
226 997     |   6  41   1 226    
227 1003     |   6  47   1 227    
228 1007     |   4  51   1 228    
229 1009     |   2  53   1 229    
230 1013     |   4  57   1 230    
231 1019     |   6  63   1 231    
232 1021     |   2  65   2 232    
233 1027     |   6  71   1 233    
234 1031     |   4  75   1 234    
235 1033     |   2  77   2 235    
236 1037     |   4  81   2 236    
237 1039     |   2  83   3 237    
238 1049     |  10  93   1 238    
239 1051     |   2  95   2 239    
- - - - - - - - - - - - - - - - - - - 
240 1061     |  10   0   0 240    
241 1063     |   2   2   1 241    
242 1067     |   4   6   1 242    
243 1069     |   2   8   2 243    
244 1073     |   4  12   2 244    
245 1079     |   6  18   1 245    
246 1081     |   2  20   2 246    
247 1087     |   6  26   2 247    
248 1091     |   4  30   2 248    
249 1093     |   2  32   2 249    
250 1097     |   4  36   2 250    
251 1103     |   6  42   2 251    
252 1109     |   6  48   2 252    
253 1111     |   2  50   2 253    
254 1117     |   6  56   2 254    
255 1121     |   4  60   2 255    
256 1123     |   2  62   2 256    
257 1129     |   6  68   2 257    
258 1133     |   4  72   2 258    
259 1139     |   6  78   2 259    
260 1147     |   8  86   1 260    
261 1151     |   4  90   1 261    
262 1153     |   2  92   1 262    
263 1157     |   4  96   2 263    
264 1159     |   2  98   2 264    
